VendorNumber__,OrderNumber__,ItemNumber__,Description__,OrderedAmount__,OrderedQuantity__,DeliveredAmount__,DeliveredQuantity__,InvoicedAmount__,InvoicedQuantity__,TaxCode__,CompanyCode__,UnitPrice__,PartNumber__,GLAccount__,CostCenter__,BudgetID__,TaxRate__
V03291,48226,17367,10 X16 3 MIL POLY BAGS,196.00,4000,196.00,4000,0,0,,19,,17367,110,,,
V02458,48237,2914,21845-00 KitRepairfl.Sect.1:1,90.90,1,90.90,1,0,0,,19,,2914,110,,,
V02458,48237,17460,Freight Charge,11.62,1,11.62,1,0,0,,19,,17460,1767,,,
V03106,48257,14997,UL XT 66 HP 1:1 COAT A DRUM 55 GALLONS,747.34,473,747.34,473,0,0,,19,,14997,110,,,
V03106,48257,14999,UL XT 66 HP 1:1 COAT B BLACK 55 GAL DRUM,672.09,430,672.09,430,0,0,,19,,14999,110,,,
V02458,48245,13685,121005 CABLE CAN MALE/FEMALE 15.0M,66.60,1,66.60,1,0,0,,19,,13685,110,,,
V02458,48245,17460,Freight Charge,11.33,1,11.33,1,0,0,,19,,17460,1767,,,
V02594,48250,21581,1/4" GENERAL PURPOSE HOSE (300 PSI),480.00,1000,480.00,1000,0,0,,19,,21581,110,,,
V02594,48250,16699,1/2" MNPT X 3/4" FNPT REDUCER,163.00,50,163.00,50,0,0,,19,,16699,110,,,
V02594,48250,16716,3/8" MNPT  x 1/4 MNPT 90 Deg. Elbow,96.50,50,96.50,50,0,0,,19,,16716,110,,,
V03664,48269,13108,2019 RAM 1500 Classic 4x4 CCVIN# 1C6RR7ST2KS599706Decals Tailgate Lock Nerf Bars GPS Geotab GPS Labor,313.50,1,313.50,1,0,0,,2,,13108,1892,,,
V00750,48279,13108,2019 RAM 1500 4x4 Crew Cab VIN# 1C6RR7ST1KS606029Installation- Decals Tailgate Lock Nerf Bars GPS GeoTab GPS Labor,313.50,1,313.50,1,0,0,,2,,13108,1892,,,
V02458,48295,17583,HFR-GSM MACHINE,122424.00,4,122424.00,4,0,0,,19,,17583,110,,,
V02458,48295,12784,GUNAIRPRO AUTOHVLP(.055),617.25,1,617.25,1,0,0,,19,,12784,110,,,
V02458,48295,12644,KITREPAIRSEALS T1,714.00,10,714.00,10,0,0,,19,,12644,110,,,
V02458,48295,11322,KITFTSRTDSINGLE HOSEDROP SHIP,3876.60,7,3876.60,7,0,0,,19,,11322,110,,,
V02458,48295,2858,16832-00   8 Switch Assy Switch Air,2934.00,15,2934.00,15,0,0,,19,,2858,110,,,
V02458,48295,2931,23961-00 Front Tip,1344.00,40,1344.00,40,0,0,,19,,2931,110,,,
V02458,48295,3011,23958-00 Seal Kit P2,1046.46,107,1046.46,107,0,0,,19,,3011,110,,,
V02458,48295,3045,23950-01 P2 Spray Gun,19200.00,10,19200.00,10,0,0,,19,,3045,110,,,
V02458,48295,21020,KITREPAIRPUMPAXP1B-SIDE,333.90,6,333.90,6,0,0,,19,,21020,110,,,
V02458,48295,11244,E-XP2 SYSTEM REACTOR 2 P2INCLUDES:1-272012 E-XP2 REACTOR 21-24K241 MAIN HOSE1-246055 WHIP HOSE1-GCP2R1 P2 SPRAY GUN,60480.00,3,60480.00,3,0,0,,19,,11244,110,,,
V02458,48295,2666,50' Heated Hose,10962.00,7,10962.00,7,0,0,,19,,2666,110,,,
V02458,48295,11185,CIRCULATION KIT2-GH45010 2- G162-449 2- G246-477,1125.60,2,1125.60,2,0,0,,19,,11185,110,,,
V02458,48295,2719,Quick Shot Grease Pk/10,2122.50,500,2122.50,500,0,0,,19,,2719,110,,,
V02458,48295,2651,Pump Rebuild Kit,601.20,4,601.20,4,0,0,,19,,2651,110,,,
V02458,48295,2667,Check Valve ISO,208.80,4,208.80,4,0,0,,19,,2667,110,,,
V02458,48295,11248,50' Heated Hose,23490.00,15,23490.00,15,0,0,,19,,11248,110,,,
V02458,48295,12742,KIT NOZZLEPRESS FEED.055,691.68,16,691.68,16,0,0,,19,,12742,110,,,
