VendorNumber__,OrderNumber__,ItemNumber__,Description__,OrderedAmount__,OrderedQuantity__,DeliveredAmount__,DeliveredQuantity__,InvoicedAmount__,InvoicedQuantity__,TaxCode__,CompanyCode__,UnitPrice__,PartNumber__,GLAccount__,CostCenter__,BudgetID__,TaxRate__,ItemCategory__,Location__,Customer__,CustomerId__
V02458,47808,1,KIT TUBE SUCTION,529.20,4,529.2,4,0,0,,19,132.30,G24J532,110,,,,,Texas : UL OffSite Inventory,TRIPLE T,U0447
V02458,47808,2,KIT REPAIRSEALS UPPER T2,237.00,4,237,4,0,0,,19,59.25,G262034,110,,,,,Texas : UL OffSite Inventory,TRIPLE T,U0447
V02458,47808,3,KIT REPAIRSEALS LOWER T2,237.00,4,237,4,0,0,,19,59.25,G247883,110,,,,,Texas : UL OffSite Inventory,TRIPLE T,U0447
V02458,47808,4,PACKING  O-RING,15.30,5,15.3,5,0,0,,19,3.06,G722834,110,,,,,Texas : UL OffSite Inventory,TRIPLE T,U0447
V02458,47808,5,KIT BODY PUMP 2:1,614.40,2,614.4,2,0,0,,19,307.20,G24J536,110,,,,,Texas : UL OffSite Inventory,TRIPLE T,U0447
V02458,47808,6,Freight Charge,68.32,1,0,0,0,0,,19,68.32,Freight - UL,1767,,,,Freight : Direct,Texas : UL OffSite Inventory,,
V02458,47841,1,PRESURE TRANSDUCER,406.80,3,406.8,3,0,0,,19,135.60,G24K999,110,,,,,Texas : UL OffSite Inventory,TRIPLE T,U0447
V02458,47841,2,SENSORPRESSUREFLUIDOUTLET,792.00,2,792,2,0,0,,19,396.00,G15M669,110,,,,,Texas : UL OffSite Inventory,TRIPLE T,U0447
V02458,47841,3,Packing  111457,27.04,4,27.04,4,0,0,,19,6.76,G111457,110,,,,,Texas : UL OffSite Inventory,TRIPLE T,U0447
V02458,47841,4,KIT PIN CLEVIS,112.50,2,112.5,2,0,0,,19,56.25,G296653,110,,,,,Texas : UL OffSite Inventory,TRIPLE T,U0447
